line_1,suburb,postal_code,state,country,location
3 WAKEFIELD STREET,WOOMBYE,4559,QLD,AUSTRALIA,"{'longitude': 152.96626146, 'latitude': -26.6609598}"
"UNIT 1, 2 PEACHWOOD COURT",ROBINA,4226,QLD,AUSTRALIA,"{'longitude': 153.3977816, 'latitude': -28.09096618}"
"UNIT 1, 137 OLD BURLEIGH ROAD",BROADBEACH,4218,QLD,AUSTRALIA,"{'longitude': 153.43317258, 'latitude': -28.02652751}"
26 FORSAYTH LANE,MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.07573215, 'latitude': -26.66126216}"
"UNIT 9, 55 CAPRICORN CRESCENT",MERIDAN PLAINS,4551,QLD,AUSTRALIA,"{'longitude': 153.09839697, 'latitude': -26.76912018}"
3 LAMANDRA LANE,SIPPY DOWNS,4556,QLD,AUSTRALIA,"{'longitude': 153.0578698, 'latitude': -26.72644504}"
"UNIT 1066, 1 THE COVE CRESCENT",CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.3799426, 'latitude': -28.02460305}"
77 KARALL STREET,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.23923517, 'latitude': -27.77196085}"
1103 DAVID LOW WAY,MARCOOLA,4564,QLD,AUSTRALIA,"{'longitude': 153.09335501, 'latitude': -26.58550561}"
"UNIT 16, 15 PACIFIC STREET",MAIN BEACH,4217,QLD,AUSTRALIA,"{'longitude': 153.42811847, 'latitude': -27.98218338}"
17 OSCAR CLOSE,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.26111884, 'latitude': -27.79168672}"
28 TAILSLIDE CRESCENT,BOKARINA,4575,QLD,AUSTRALIA,"{'longitude': 153.1292391, 'latitude': -26.74328165}"
17 THE ESPLANADE,COOMBABAH,4216,QLD,AUSTRALIA,"{'longitude': 153.37259386, 'latitude': -27.89618229}"
"UNIT 149, 2 GRAND PARADE",PARREARRA,4575,QLD,AUSTRALIA,"{'longitude': 153.12300376, 'latitude': -26.71488394}"
"UNIT 6, 34 VICTORIA TERRACE",KINGS BEACH,4551,QLD,AUSTRALIA,"{'longitude': 153.14953044, 'latitude': -26.80166565}"
1 PALARA STREET,BUDDINA,4575,QLD,AUSTRALIA,"{'longitude': 153.13019198, 'latitude': -26.69936441}"
"UNIT 1, 3 TELOPEA STREET",LABRADOR,4215,QLD,AUSTRALIA,"{'longitude': 153.39020591, 'latitude': -27.95084894}"
80 CROYDON AVENUE,CURRIMUNDI,4551,QLD,AUSTRALIA,"{'longitude': 153.12731186, 'latitude': -26.77259851}"
9 BLUE GUM COURT,GILSTON,4211,QLD,AUSTRALIA,"{'longitude': 153.31460231, 'latitude': -28.03575997}"
1 WHITEWOOD PLACE,MOLENDINAR,4214,QLD,AUSTRALIA,"{'longitude': 153.37005008, 'latitude': -27.97378795}"
"UNIT 18, 111 RIO VISTA BOULEVARD",BROADBEACH WATERS,4218,QLD,AUSTRALIA,"{'longitude': 153.41660497, 'latitude': -28.02873325}"
11 CHEYENNE WAY,MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.07695468, 'latitude': -26.66134115}"
70 AUBURN STREET,CALOUNDRA WEST,4551,QLD,AUSTRALIA,"{'longitude': 153.09936135, 'latitude': -26.80328422}"
3301 CENTRAL PLACE,CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.37251686, 'latitude': -28.01519281}"
35 FERNLEIGH CRESCENT,MOUNTAIN CREEK,4557,QLD,AUSTRALIA,"{'longitude': 153.09724977, 'latitude': -26.69812337}"
43 BINYA AVENUE,COOLANGATTA,4225,QLD,AUSTRALIA,"{'longitude': 153.52530761, 'latitude': -28.17243874}"
4 EMU WALK,MAPLETON,4560,QLD,AUSTRALIA,"{'longitude': 152.86390245, 'latitude': -26.62520373}"
6 BARWOOD COURT,BURNSIDE,4560,QLD,AUSTRALIA,"{'longitude': 152.93264402, 'latitude': -26.62152096}"
47 DEBORAH AVENUE,BENOWA,4217,QLD,AUSTRALIA,"{'longitude': 153.38977194, 'latitude': -28.0203732}"
"UNIT 18, 7 CAMPBELL STREET",BUNDALL,4217,QLD,AUSTRALIA,"{'longitude': 153.40145035, 'latitude': -28.02678397}"
"UNIT 1, 7 CUPANIA PLACE",ELANORA,4221,QLD,AUSTRALIA,"{'longitude': 153.44659634, 'latitude': -28.13183981}"
"UNIT 83, 5 LOCHINVAR COURT",ASHMORE,4214,QLD,AUSTRALIA,"{'longitude': 153.36441604, 'latitude': -27.99039136}"
39 MCKEES ROAD,PALMWOODS,4555,QLD,AUSTRALIA,"{'longitude': 152.94865809, 'latitude': -26.67652026}"
10 WAITOMO STREET,BROADBEACH WATERS,4218,QLD,AUSTRALIA,"{'longitude': 153.41229776, 'latitude': -28.03530917}"
"UNIT 87, 10-16 ALEXANDRA AVENUE",MERMAID BEACH,4218,QLD,AUSTRALIA,"{'longitude': 153.4346459, 'latitude': -28.03738917}"
"UNIT 804, 110 FRANK STREET",LABRADOR,4215,QLD,AUSTRALIA,"{'longitude': 153.40818484, 'latitude': -27.94653977}"
21 SHIRLEY STREET,SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.40316069, 'latitude': -27.98067243}"
"UNIT 51110, 5 HARBOUR SIDE COURT",BIGGERA WATERS,4216,QLD,AUSTRALIA,"{'longitude': 153.39260635, 'latitude': -27.93140053}"
"UNIT 40, 16 TORAL DRIVE",BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.0539704, 'latitude': -26.71236115}"
46 SIPPY DOWNS DRIVE,SIPPY DOWNS,4556,QLD,AUSTRALIA,"{'longitude': 153.05515173, 'latitude': -26.71748653}"
5 KELLOR COURT,UPPER COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.27972027, 'latitude': -27.89139102}"
