line_1,suburb,postal_code,state,country,location
39 GOODENIA LOOP,CRANBOURNE WEST,3977,VIC,AUSTRALIA,"{'longitude': 145.24238314, 'latitude': -38.11309489}"
"UNIT 1, 94 RAILWAY PARADE",PASCOE VALE,3044,VIC,AUSTRALIA,"{'longitude': 144.92566095, 'latitude': -37.72464983}"
20 KAORIKI COURT,CONDON,4815,QLD,AUSTRALIA,"{'longitude': 146.72553102, 'latitude': -19.33525453}"
"UNIT 3, 17 LATHAM STREET",IVANHOE,3079,VIC,AUSTRALIA,"{'longitude': 145.04283799, 'latitude': -37.77379789}"
24 BLESSINGTON WAY,FLINDERS VIEW,4305,QLD,AUSTRALIA,"{'longitude': 152.76635574, 'latitude': -27.65286746}"
12 WEAVER BOULEVARD,PARALOWIE,5108,SA,AUSTRALIA,"{'longitude': 138.6109262, 'latitude': -34.76474182}"
71 ADAMS STREET,COOTAMUNDRA,2590,NSW,AUSTRALIA,"{'longitude': 148.02362665, 'latitude': -34.63248707}"
60 TENNYSON STREET,KURRALTA PARK,5037,SA,AUSTRALIA,"{'longitude': 138.56361148, 'latitude': -34.94943702}"
28 CHERISH DRIVE,TARNEIT,3029,VIC,AUSTRALIA,"{'longitude': 144.68905582, 'latitude': -37.81841162}"
8 LARKSPUR CIRCUIT,GLEN WAVERLEY,3150,VIC,AUSTRALIA,"{'longitude': 145.16595689, 'latitude': -37.88852285}"
26 RIVER ROAD,WALWA,3709,VIC,AUSTRALIA,"{'longitude': 147.73583664, 'latitude': -35.96051649}"
10 CORREA COURT,MOUNT BARKER,5251,SA,AUSTRALIA,"{'longitude': 138.85812363, 'latitude': -35.0853107}"
4 HOURIGAN WAY,WERRIBEE,3030,VIC,AUSTRALIA,"{'longitude': 144.62662599, 'latitude': -37.9165624}"
9 RAVALIA WALK,OFFICER,3809,VIC,AUSTRALIA,"{'longitude': 145.40913485, 'latitude': -38.07171176}"
69A GOLF LINKS ROAD,LAKES ENTRANCE,3909,VIC,AUSTRALIA,"{'longitude': 148.01571479, 'latitude': -37.87071282}"
115 RINGWOOD ROAD,SUNTOP,2820,NSW,AUSTRALIA,"{'longitude': 148.88074917, 'latitude': -32.56255285}"
118 SHAWS ROAD,WERRIBEE,3030,VIC,AUSTRALIA,"{'longitude': 144.65467098, 'latitude': -37.88940082}"
15 VANALI DRIVE,PORT ELLIOT,5212,SA,AUSTRALIA,"{'longitude': 138.68488956, 'latitude': -35.52243329}"
"UNIT 2, 30 ASHLEY STREET",RESERVOIR,3073,VIC,AUSTRALIA,"{'longitude': 145.00252694, 'latitude': -37.71723084}"
682 CABRAMATTA ROAD WEST,BONNYRIGG,2177,NSW,AUSTRALIA,"{'longitude': 150.8942818, 'latitude': -33.89416277}"
122 SIMPSON STREET,TUMUT,2720,NSW,AUSTRALIA,"{'longitude': 148.22559506, 'latitude': -35.31415728}"
805 CAMBRIDGE ROAD,CAMBRIDGE,7170,TAS,AUSTRALIA,"{'longitude': 147.42242101, 'latitude': -42.84119518}"
41 SOUTHERDEN AVENUE,GRANGE,4051,QLD,AUSTRALIA,"{'longitude': 153.00908122, 'latitude': -27.42264351}"
127 ANDERSON ROAD,BAYVIEW HEIGHTS,4868,QLD,AUSTRALIA,"{'longitude': 145.73374876, 'latitude': -16.96704829}"
9 HAWKESBURY DRIVE,DONNYBROOK,3064,VIC,AUSTRALIA,"{'longitude': 144.96873335, 'latitude': -37.54025243}"
71 STEVEYS FOREST ROAD,OAKDALE,2570,NSW,AUSTRALIA,"{'longitude': 150.49780026, 'latitude': -34.07411686}"
27 HARROWBY STREET,CORINDA,4075,QLD,AUSTRALIA,"{'longitude': 152.97911413, 'latitude': -27.53690311}"
13 MORLEY STREET,WEST GLADSTONE,4680,QLD,AUSTRALIA,"{'longitude': 151.24366548, 'latitude': -23.86781497}"
900 MOOROODUC HIGHWAY,MORNINGTON,3931,VIC,AUSTRALIA,"{'longitude': 145.08321611, 'latitude': -38.24548966}"
90 FULLARTON ROAD,NORWOOD,5067,SA,AUSTRALIA,"{'longitude': 138.62369786, 'latitude': -34.92418186}"
"UNIT 2, 195 POSTLE STREET",ACACIA RIDGE,4110,QLD,AUSTRALIA,"{'longitude': 153.02654982, 'latitude': -27.57735623}"
21 ALBION PARK DRIVE,CRANBOURNE EAST,3977,VIC,AUSTRALIA,"{'longitude': 145.31695948, 'latitude': -38.11787341}"
51 BRIDGE ROAD,ARDROSSAN,5571,SA,AUSTRALIA,"{'longitude': 137.92215244, 'latitude': -34.41406727}"
200 BUNGOWER ROAD,MORNINGTON,3931,VIC,AUSTRALIA,"{'longitude': 145.08024987, 'latitude': -38.22729285}"
113 JOSEPH STREET,KINGSWOOD,2747,NSW,AUSTRALIA,"{'longitude': 150.72167376, 'latitude': -33.75607882}"
"UNIT 54, 1-29 BUNN STREET",PYRMONT,2009,NSW,AUSTRALIA,"{'longitude': 151.1972289, 'latitude': -33.8717669}"
"UNIT 7, 10-16 GLEBE STREET",GLEBE,2037,NSW,AUSTRALIA,"{'longitude': 151.19416473, 'latitude': -33.88210686}"
44 YOUNG STREET,FITZROY,3065,VIC,AUSTRALIA,"{'longitude': 144.97832444, 'latitude': -37.80694564}"
"UNIT 2, 27 GORDON STREET",TRARALGON,3844,VIC,AUSTRALIA,"{'longitude': 146.53527042, 'latitude': -38.19162853}"
83 VILLAGE CIRCUIT,EIMEO,4740,QLD,AUSTRALIA,"{'longitude': 149.17897136, 'latitude': -21.0410854}"
6 SAPPHIRE DRIVE,RUTHERFORD,2320,NSW,AUSTRALIA,"{'longitude': 151.54129282, 'latitude': -32.71189843}"
13 OLIVER CRESCENT,PORT NOARLUNGA,5167,SA,AUSTRALIA,"{'longitude': 138.48014434, 'latitude': -35.14553642}"
182 COMMERCIAL ROAD,PRAHRAN,3181,VIC,AUSTRALIA,"{'longitude': 144.99243788, 'latitude': -37.84679853}"
52 HOLLYWOOD AVENUE,BELLMERE,4510,QLD,AUSTRALIA,"{'longitude': 152.91766135, 'latitude': -27.08649818}"
6 BYRON COURT,HEIDELBERG HEIGHTS,3081,VIC,AUSTRALIA,"{'longitude': 145.05649693, 'latitude': -37.73945084}"
24 KEERA STREET,BINGARA,2404,NSW,AUSTRALIA,"{'longitude': 150.5689027, 'latitude': -29.86576314}"
"UNIT 513, 88 TRENERRY CRESCENT",ABBOTSFORD,3067,VIC,AUSTRALIA,"{'longitude': 144.99818955, 'latitude': -37.79791725}"
4 AVERY COURT,WHEELERS HILL,3150,VIC,AUSTRALIA,"{'longitude': 145.18564989, 'latitude': -37.89638185}"
11 RIVER STREET,EARLWOOD,2206,NSW,AUSTRALIA,"{'longitude': 151.12130986, 'latitude': -33.91936515}"
2 PAKENHAM STREET,LONGFORD,7301,TAS,AUSTRALIA,"{'longitude': 147.11926468, 'latitude': -41.59614899}"
"UNIT 6, 104 CENTRAL LANE",GLADSTONE CENTRAL,4680,QLD,AUSTRALIA,"{'longitude': 151.25731898, 'latitude': -23.84726315}"
11A KAURI PARADE,SEACLIFF,5049,SA,AUSTRALIA,"{'longitude': 138.52132842, 'latitude': -35.02823035}"
381 DRYNIE ROAD,BRANDON,4808,QLD,AUSTRALIA,"{'longitude': 147.33111128, 'latitude': -19.53126531}"
37 RISBY STREET,ULVERSTONE,7315,TAS,AUSTRALIA,"{'longitude': 146.17555973, 'latitude': -41.16156642}"
59 BANGALEE STREET,LAUDERDALE,7021,TAS,AUSTRALIA,"{'longitude': 147.49465071, 'latitude': -42.90148505}"
31 ST AUBYN SQUARE,MOONAH,7009,TAS,AUSTRALIA,"{'longitude': 147.30138266, 'latitude': -42.84033968}"
905 STELLING STREET,GLENROY,2640,NSW,AUSTRALIA,"{'longitude': 146.90822142, 'latitude': -36.05879181}"
9 VALOUR COURT,GOLDEN GROVE,5125,SA,AUSTRALIA,"{'longitude': 138.70037666, 'latitude': -34.77937027}"
7 BASIL COURT,NIKENBAH,4655,QLD,AUSTRALIA,"{'longitude': 152.82036982, 'latitude': -25.3099934}"
102 SANCTUARY BOULEVARD,ARMSTRONG CREEK,3217,VIC,AUSTRALIA,"{'longitude': 144.34628905, 'latitude': -38.23772263}"
4 BUTTERCUP PLACE,MOUNT ANNAN,2567,NSW,AUSTRALIA,"{'longitude': 150.75992068, 'latitude': -34.064824}"
24 REARDEN AVENUE,KINGS LANGLEY,2147,NSW,AUSTRALIA,"{'longitude': 150.94434426, 'latitude': -33.75733271}"
6 DUNCAN ROAD,WEST CROYDON,5008,SA,AUSTRALIA,"{'longitude': 138.55594713, 'latitude': -34.88947927}"
591 HORROCKS HIGHWAY,ROSEWORTHY,5371,SA,AUSTRALIA,"{'longitude': 138.75229483, 'latitude': -34.51965365}"
7 WOODHEAD STREET,FITZROY NORTH,3068,VIC,AUSTRALIA,"{'longitude': 144.98643594, 'latitude': -37.78454984}"
10 MARLOW COURT,MOUNT GAMBIER,5290,SA,AUSTRALIA,"{'longitude': 140.7948118, 'latitude': -37.81960709}"
30 ROSEMEATH AVENUE,KINGSGROVE,2208,NSW,AUSTRALIA,"{'longitude': 151.10437495, 'latitude': -33.930601}"
15 YOUNG STREET,DARNUM,3822,VIC,AUSTRALIA,"{'longitude': 146.00207519, 'latitude': -38.18767831}"
"UNIT 5, 68-70 CALLANDER ROAD",NOBLE PARK,3174,VIC,AUSTRALIA,"{'longitude': 145.17812588, 'latitude': -37.95652785}"
11 FRANK BELL STREET,EMERALD,4720,QLD,AUSTRALIA,"{'longitude': 148.16069464, 'latitude': -23.52827954}"
12 STRATHMONT DRIVE,STRATHALBYN,5255,SA,AUSTRALIA,"{'longitude': 138.89997122, 'latitude': -35.26506623}"
43 CARTERS LANE,FAIRY MEADOW,2519,NSW,AUSTRALIA,"{'longitude': 150.90261495, 'latitude': -34.38943014}"
42 ROSETTA STREET,WEST CROYDON,5008,SA,AUSTRALIA,"{'longitude': 138.55927588, 'latitude': -34.88925077}"
"UNIT 2, 72 RIVERSIDE AVENUE",WERRIBEE,3030,VIC,AUSTRALIA,"{'longitude': 144.65898543, 'latitude': -37.91749368}"
68 WENTWORTH STREET,SOUTH HOBART,7004,TAS,AUSTRALIA,"{'longitude': 147.30694312, 'latitude': -42.8964682}"
1 BELLEVUE STREET,BUNDABERG WEST,4670,QLD,AUSTRALIA,"{'longitude': 152.33213399, 'latitude': -24.8736639}"
4 O'DONNELL COURT,CLERMONT,4721,QLD,AUSTRALIA,"{'longitude': 147.64377871, 'latitude': -22.82058296}"
352 BLOCKERS ROAD,MYPONGA,5202,SA,AUSTRALIA,"{'longitude': 138.52006256, 'latitude': -35.36933471}"
1 VIVONNE WAY,OAKLANDS PARK,5046,SA,AUSTRALIA,"{'longitude': 138.54882522, 'latitude': -35.00612135}"
53 FRESHWATER POINT ROAD,LEGANA,7277,TAS,AUSTRALIA,"{'longitude': 147.04709886, 'latitude': -41.3604482}"
61 RIDGE ROAD,ENGADINE,2233,NSW,AUSTRALIA,"{'longitude': 151.00007237, 'latitude': -34.05067706}"
44 ROSE STREET,ALTONA,3018,VIC,AUSTRALIA,"{'longitude': 144.81956396, 'latitude': -37.86717883}"
"UNIT 1, 59 BAYNES STREET",ROCHESTER,3561,VIC,AUSTRALIA,"{'longitude': 144.71175511, 'latitude': -36.35942101}"
"UNIT 1, 6 BIRT STREET",WHYALLA,5600,SA,AUSTRALIA,"{'longitude': 137.58749203, 'latitude': -33.03693425}"
112 GOSFORD ROAD,ADAMSTOWN,2289,NSW,AUSTRALIA,"{'longitude': 151.7313259, 'latitude': -32.93009938}"
64 MARIAN STREET,MILES,4415,QLD,AUSTRALIA,"{'longitude': 150.18912303, 'latitude': -26.65893244}"
19 EVERARD TERRACE,MARSDEN PARK,2765,NSW,AUSTRALIA,"{'longitude': 150.81274684, 'latitude': -33.70322937}"
"UNIT 2, 14 MCDONALD STREET",PRESTON,3072,VIC,AUSTRALIA,"{'longitude': 144.99223394, 'latitude': -37.73796784}"
8 CHETTLE STREET,DEVONPORT,7310,TAS,AUSTRALIA,"{'longitude': 146.35409767, 'latitude': -41.18570316}"
20 ADELONG DRIVE,KINGSTON,7050,TAS,AUSTRALIA,"{'longitude': 147.29557141, 'latitude': -42.9670898}"
57 MAYNE STREET,INVERMAY,7248,TAS,AUSTRALIA,"{'longitude': 147.1291779, 'latitude': -41.42193965}"
62 KORENAN SERVICE ROAD,LOWMEAD,4676,QLD,AUSTRALIA,"{'longitude': 151.72815042, 'latitude': -24.5306104}"
1249 GURRUNDAH ROAD,PARKESBOURNE,2580,NSW,AUSTRALIA,"{'longitude': 149.56398487, 'latitude': -34.73452515}"
7 BAYNTON STREET,KINGSTON,7050,TAS,AUSTRALIA,"{'longitude': 147.30464703, 'latitude': -42.9848151}"
5 ACACIA CLOSE,MANSFIELD,3722,VIC,AUSTRALIA,"{'longitude': 146.1060435, 'latitude': -37.03413245}"
34 SILVER WATTLE GROVE,PEREGIAN SPRINGS,4573,QLD,AUSTRALIA,"{'longitude': 153.07943165, 'latitude': -26.5094025}"
13 ENID AVENUE,ROSELANDS,2196,NSW,AUSTRALIA,"{'longitude': 151.08078625, 'latitude': -33.93447002}"
326 GRAND JUNCTION ROAD,ENFIELD,5085,SA,AUSTRALIA,"{'longitude': 138.60163076, 'latitude': -34.84834769}"
428 HENSHAWS ROAD,ST HELENS,3285,VIC,AUSTRALIA,"{'longitude': 142.03191306, 'latitude': -38.26149407}"
20 PRINCES HIGHWAY,PAKENHAM,3810,VIC,AUSTRALIA,"{'longitude': 145.48687682, 'latitude': -38.07159388}"
1943 AMIENS ROAD,BAPAUME,4352,QLD,AUSTRALIA,"{'longitude': 151.83096181, 'latitude': -28.56167438}"
204 COMO PARADE EAST,PARKDALE,3195,VIC,AUSTRALIA,"{'longitude': 145.07759191, 'latitude': -37.9938956}"
76 ANNE STREET,GEORGE TOWN,7253,TAS,AUSTRALIA,"{'longitude': 146.82078057, 'latitude': -41.10128448}"
8 JIRRA WAY,MARYLAND,2287,NSW,AUSTRALIA,"{'longitude': 151.65899097, 'latitude': -32.8734816}"
2 SEYMOUR STREET,TARLETON,7310,TAS,AUSTRALIA,"{'longitude': 146.36144385, 'latitude': -41.23982064}"
58 TASMAN HIGHWAY,ORFORD,7190,TAS,AUSTRALIA,"{'longitude': 147.87889822, 'latitude': -42.55168645}"
2 CHALE COURT,SILVERLEAVES,3922,VIC,AUSTRALIA,"{'longitude': 145.26433951, 'latitude': -38.45321845}"
20 PACKARD COURSE,MILL PARK,3082,VIC,AUSTRALIA,"{'longitude': 145.06482494, 'latitude': -37.65581384}"
"UNIT 2, 1 LINDWALL STREET",GLEN WAVERLEY,3150,VIC,AUSTRALIA,"{'longitude': 145.16777889, 'latitude': -37.87135585}"
127 STONY RISE ROAD,STONY RISE,7310,TAS,AUSTRALIA,"{'longitude': 146.33457134, 'latitude': -41.19489062}"
"UNIT 3, 284 OXLEY DRIVE",COOMBABAH,4216,QLD,AUSTRALIA,"{'longitude': 153.38578276, 'latitude': -27.90328463}"
35 CULLEN STREET,BUNDAMBA,4304,QLD,AUSTRALIA,"{'longitude': 152.80526945, 'latitude': -27.60182214}"
43 BONELLA STREET,RAVENSWOOD,7250,TAS,AUSTRALIA,"{'longitude': 147.18019537, 'latitude': -41.42252712}"
11A ALAN STREET,FAIRFIELD,2165,NSW,AUSTRALIA,"{'longitude': 150.95922045, 'latitude': -33.87026813}"
11 EATON LANE,OBERON,2787,NSW,AUSTRALIA,"{'longitude': 149.90703018, 'latitude': -33.7190497}"
23 PENGUIN ROAD,WEST ULVERSTONE,7315,TAS,AUSTRALIA,"{'longitude': 146.15378799, 'latitude': -41.14199014}"
